,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144
10,AGRN:protein_coding,AC116366.6:antisense,ALYREF:retained_intron,APOL1:protein_coding,C21orf59:protein_coding,ATP2A3:retained_intron,PRKCD:protein_coding,PUS7:protein_coding,PPP1R37:protein_coding,VASN:protein_coding,TLDC1:protein_coding,VOPP1:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AGTRAP:protein_coding,AC138430.4:retained_intron,ANKRD36:protein_coding,ARHGAP20:protein_coding,CALHM2:processed_transcript,BTAF1:processed_transcript,SDC3:protein_coding,PVT1:lincRNA,TTLL4:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AHCYL1:protein_coding,ACAD11:nonsense_mediated_decay,AP000689.8:retained_intron,ARHGAP21:protein_coding,CANX:protein_coding,CABIN1:retained_intron,SLC35E4:protein_coding,TTF2:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AIMP2:protein_coding,ACCS:protein_coding,APBB1:processed_transcript,ATF6B:processed_transcript,CARD6:protein_coding,CAST:processed_transcript,TET3:protein_coding,ZNF280B:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AK2:protein_coding,ACTB:processed_transcript,ATF3:processed_transcript,ATP5J:protein_coding,CBX1:protein_coding,CERS5:retained_intron,TP53BP1:protein_coding,ZNRF3:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AMPD2:protein_coding,ACTR3:retained_intron,B2M:retained_intron,ATP6V1G2-DDX39B:nonsense_mediated_decay,CCNB1:protein_coding,CFAP45:nonsense_mediated_decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ANAPC7:protein_coding,ADGRB1:retained_intron,BBC3:retained_intron,ATRN:protein_coding,CERS2:protein_coding,CTD-2185K10.1:lincRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ANKH:processed_transcript,ADGRE2:processed_transcript,BCL11A:protein_coding,ATXN1:protein_coding,CHERP:protein_coding,CYBA:processed_transcript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ANKH:protein_coding,ADGRE5:processed_transcript,BCL11B:protein_coding,AURKA:protein_coding,CHPF2:protein_coding,DDX19A:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ANP32A:processed_transcript,ADIPOR1:retained_intron,BCYRN1:scRNA,BANF1:protein_coding,CHST14:protein_coding,DHX9:processed_transcript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AP2M1:protein_coding,AFF3:nonsense_mediated_decay,BIN2:protein_coding,BOLA2:protein_coding,CLPTM1L:protein_coding,DYRK1A:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,APLF:protein_coding,AFF3:retained_intron,C11orf49:TEC,BTRC:protein_coding,CPTP:protein_coding,ERMN:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,APMAP:protein_coding,AGO2:processed_transcript,C11orf76:antisense,C11orf83:protein_coding,CRKL:protein_coding,FRRS1L:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,APOBEC3C:nonsense_mediated_decay,AKAP13:processed_transcript,C12orf61:lincRNA,C22orf27:antisense,CSTF2:protein_coding,FZR1:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,APOO:protein_coding,AL133243.2:sense_intronic,C19orf71:protein_coding,C9orf64:protein_coding,CTD-3113P16.11:lincRNA,GAPVD1:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ARL11:protein_coding,AL844908.5:antisense,CCNH:retained_intron,CABYR:protein_coding,CTDSP2:protein_coding,HLA-DPA1:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ARL6:protein_coding,ALYREF:processed_transcript,CCT6P1:transcribed_unprocessed_pseudogene,CACNB1:protein_coding,CTSH:protein_coding,HNRNPM:nonsense_mediated_decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ARMC10:protein_coding,AMZ2:processed_transcript,CFAP20:retained_intron,CBR1:protein_coding,CXorf21:protein_coding,ITPR1:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ARMC7:protein_coding,ANKRD36B:protein_coding,CH507-42P11.8:retained_intron,CBR3:protein_coding,CYP20A1:protein_coding,KCNH8:nonsense_mediated_decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ASB1:protein_coding,AP000892.6:TEC,CHCHD2:retained_intron,CCL22:protein_coding,DDX19A:protein_coding,LMBRD1:nonsense_mediated_decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ATIC:protein_coding,AP001055.8:lincRNA,CHMP2A:retained_intron,CDK2AP1:protein_coding,DDX23:protein_coding,MECP2:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AUP1:protein_coding,AP1B1:retained_intron,CHMP7:retained_intron,CECR2:protein_coding,DDX28:protein_coding,MED25:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,B3GALNT2:protein_coding,APPL1:retained_intron,CLK1:retained_intron,CHST2:protein_coding,DGCR2:protein_coding,MYBPC2:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,B4GALT6:protein_coding,APTX:retained_intron,CTB-102L5.7:sense_intronic,COX11:protein_coding,DIEXF:protein_coding,NDUFAF5:processed_transcript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BAG2:protein_coding,ARHGAP15:retained_intron,CTC-548K16.2:lincRNA,CPOX:retained_intron,DOK1:protein_coding,NEIL1:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BCKDK:protein_coding,ARHGDIB:processed_transcript,CTCFL:retained_intron,CROT:protein_coding,DOLK:protein_coding,PELI1:processed_transcript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
